sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Stephen Twigg","62","Liverpool, West Derby","Labour Co-operative","1573","3130","2605","http://sexymp.co.uk/mp/594.jpg","E14000796","65766","Liverpool, West Derby","England","465700","230400","235200","4232","2035","2197","25","19","41","9.1","674.9","787.3","573.2","4.3","3.2","6.9","covered_by","E08000012"
"Steve Brine","63","Winchester","Conservative","1395","3657","2288","http://sexymp.co.uk/mp/71.jpg","E14001041","65921","Winchester","England","1322100","647500","674600","11397","5389","6008","50","30","81","8.6","454.5","524.8","396.7","3.3","2","5.3","covered_by","E10000014"
"Zac Goldsmith","64","Richmond Park","Conservative","1372","4032","2422","http://sexymp.co.uk/mp/232.jpg","E14000896","65598","Richmond Park","England","173950","84900","89100","1091","514.5","576.5","9.5","8.5","12","6.25","432.6","525.8","358.4","3.6","3.3","4.6","overlapped_by (calculated average)","E09000021,E09000027"
"Anne Marie Morris","65","Newton Abbot","Conservative","1622","29746","26547","http://sexymp.co.uk/mp/434.jpg","E14000835","65828","Newton Abbot","England","124300","60200","64099","1422","666","756","5","3","5","11.4","475","567.5","392.7","4.3","2.6","4.3","covered_by","E07000045"
"Chris Heaton-Harris","66","Daventry","Conservative","1549","2893","2341","http://sexymp.co.uk/mp/276.jpg","E14000660","66025","Daventry","England","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8","covered_by","E10000021"
"Graham Jones","67","Hyndburn","Labour","1497","3390","2536","http://sexymp.co.uk/mp/326.jpg","E14000758","65899","Hyndburn","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Mel Stride","68","Central Devon","Conservative","1472","3129","2253","http://sexymp.co.uk/mp/567.jpg","E14000623","65749","Central Devon","England","747700","362900","384800","8102","3763","4339","34","25","53","10.8","470.8","550.6","403.3","4.5","3.3","7","covered_by","E10000008"
"Hugh Robertson","69","Faversham and Mid Kent","Conservative","1480","3159","2309","http://sexymp.co.uk/mp/509.jpg","E14000700","65764","Faversham and Mid Kent","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Gareth Thomas","70","Harrow West","Labour Co-operative","1613","3050","2703","http://sexymp.co.uk/mp/582.jpg","E14000732","65796","Harrow West","England","240500","118900","121600","1414","711","703","18","11","23","5.9","410.8","497.7","336.8","5.2","3.2","6.6","covered_by","E09000015"
"Stephen Williams","71","Bristol West","Liberal Democrat","1512","3141","2415","http://sexymp.co.uk/mp/629.jpg","E14000602","65574","Bristol West","England","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7","covered_by","E06000023"
