sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Andrew Rosindell","88","Romford","Conservative","1510","3049","2497","http://sexymp.co.uk/mp/514.jpg","E14000900","66077","Romford","England","79.3","191","83.8","118","18.6","197","21.8","92","covered_by","E09000016"
"David Ruttley","89","Macclesfield","Conservative","1478","3178","2482","http://sexymp.co.uk/mp/523.jpg","E14000802","65896","Macclesfield","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"Stephen Dorrell","90","Charnwood","Conservative","1492","3035","2434","http://sexymp.co.uk/mp/164.jpg","E14000625","65615","Charnwood","England","80.16666666666667","117.66666666666667","84.23333333333333","80.66666666666667","18.933333333333334","146","21.933333333333334","82","overlapped_by (calculated average)","E07000129,E07000130,E07000132"
"Richard Fuller","91","Bedford","Conservative","1417","3477","2470","http://sexymp.co.uk/mp/214.jpg","E14000552","65561","Bedford","England","79.3","190","83.1","184","19","134","21.5","146","covered_by","E06000055"
"Mel Stride","92","Central Devon","Conservative","1429","3161","2293","http://sexymp.co.uk/mp/567.jpg","E14000623","65749","Central Devon","England","80.425","107.5","84.475","62.5","19.349999999999998","97.5","22.125","69.25","overlapped_by (calculated average)","E07000040,E07000042,E07000045,E07000047"
"Julian Sturdy","93","York Outer","Conservative","1423","3259","2343","http://sexymp.co.uk/mp/572.jpg","E14001062","66037","York Outer","England","79.6","172","83.2","181","18.5","201","21.3","159","covered_by","E06000014"
"Zac Goldsmith","94","Richmond Park","Conservative","1335","4062","2492","http://sexymp.co.uk/mp/232.jpg","E14000896","65598","Richmond Park","England","81.55000000000001","28","85.35","18","19.65","52.5","22.75","33","overlapped_by (calculated average)","E09000021,E09000027"
"Chris Huhne","95","Eastleigh","Liberal Democrat","1549","3083","2691","http://sexymp.co.uk/mp/305.jpg","E14000685","65881","Eastleigh","England","81.6","22","84.9","30","19.7","41","22.3","41","covered_by","E07000086"
"Alan Keen","96","Feltham and Heston","Labour Co-operative","1679","2990","3077","http://sexymp.co.uk/mp/336.jpg","E14000701","65655","Feltham and Heston","England","79.5","178","83.3","172","18.6","199","21.6","136","covered_by","E09000018"
"David Lidington","97","Aylesbury","Conservative","1535","2958","2533","http://sexymp.co.uk/mp/366.jpg","E14000538","65739","Aylesbury","England","80.6","93","84.05000000000001","96","19.299999999999997","101.5","21.9","85","overlapped_by (calculated average)","E07000004,E07000007"
