sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Alan Johnson","101","Kingston upon Hull West and Hessle","Labour","1565","3156","2832","http://sexymp.co.uk/mp/320.jpg","M","E14000773","65984","Kingston upon Hull West and Hessle","England"
"Russell Brown","102","Dumfries and Galloway","Labour","1552","3101","2733","http://sexymp.co.uk/mp/77.jpg","M","S14000013","14410","Dumfries and Galloway","Scotland"
"Nick Herbert","103","Arundel and South Downs","Conservative","1413","3323","2377","http://sexymp.co.uk/mp/282.jpg","M","E14000534","65784","Arundel and South Downs","England"
"Andrew Jones","104","Harrogate and Knaresborough","Conservative","1420","3184","2300","http://sexymp.co.uk/mp/324..jpg","M","E14000730","65578","Harrogate and Knaresborough","England"
"John McDonnell","105","Hayes and Harlington","Labour","1550","3254","2865","http://sexymp.co.uk/mp/401.jpg","M","E14000737","65912","Hayes and Harlington","England"
"John Penrose","106","Weston-super-Mare","Conservative","1457","3149","2419","http://sexymp.co.uk/mp/477.jpg","M","E14001038","65742","Weston-Super-Mare","England"
"Desmond Swayne","107","New Forest West","Conservative","1508","3110","2584","http://sexymp.co.uk/mp/575.jpg","M","E14000828","65815","New Forest West","England"
"Ben Walker","108","Wyre and Preston North","Conservative","1463","3163","2450","http://sexymp.co.uk/mp/606.jpg","M","E14001057","65695","Wyre and Preston North","England"
"David Burrowes","109","Enfield, Southgate","Conservative","1431","3291","2421","http://sexymp.co.uk/mp/89.jpg","M","E14000692","65567","Enfield, Southgate","England"
"Adam Holloway","110","Gravesham","Conservative","1403","3252","2295","http://sexymp.co.uk/mp/294.jpg","M","E14000715","65944","Gravesham","England"
"Karl Turner","111","Kingston upon Hull East","Labour","1494","3552","2898","http://sexymp.co.uk/mp/592.jpg","M","E14000771","65709","Kingston upon Hull East","England"
"David Ruffley","112","Bury St Edmunds","Conservative","1356","3427","2223","http://sexymp.co.uk/mp/521.jpg","M","E14000613","66035","Bury St Edmunds","England"
"David Ruttley","113","Macclesfield","Conservative","1466","3200","2509","http://sexymp.co.uk/mp/523.jpg","M","E14000802","65896","Macclesfield","England"
"John Denham","114","Southampton, Itchen","Labour","1812","2632","3178","http://sexymp.co.uk/mp/153.jpg","M","E14000955","66016","Southampton, Itchen","England"
"Andrew Gwynne","115","Denton and Reddish","Labour","1550","3132","2783","http://sexymp.co.uk/mp/249.jpg","M","E14000661","65924","Denton and Reddish","England"
"Angus MacNiel","116","Na h-Eileanan an Iar","Scottish National Party","1485","3413","2764","http://sexymp.co.uk/mp/381.jpg","M","S14000027","14444","Na h-Eileanan an Iar","Scotland"
"Stephen Twigg","117","Liverpool, West Derby","Labour Co-operative","1511","3205","2694","http://sexymp.co.uk/mp/594.jpg","M","E14000796","65766","Liverpool, West Derby","England"
"Nick Boles","118","Grantham and Stamford","Conservative","1421","3346","2455","http://sexymp.co.uk/mp/60.jpg","M","E14000714","65683","Grantham and Stamford","England"
"Julian Brazier","119","Canterbury","Conservative","1513","3036","2568","http://sexymp.co.uk/mp/68.jpg","M","E14000619","65878","Canterbury","England"
"Nick Hurd","120","Ruislip, Northwood and Pinner","Conservative","1375","3552","2413","http://sexymp.co.uk/mp/310.jpg","M","E14000906","65681","Ruislip, Northwood and Pinner","England"
"Anas Sarwar","121","Glasgow Central","Labour","1489","3536","2892","http://sexymp.co.uk/mp/526.jpg","M","S14000029","14425","Glasgow Central","Scotland"
"Jon Ashworth","122","Leicester South","Labour","1517","3070","2630","http://sexymp.co.uk/mp/17.jpg","M","E14000783","65604","Leicester South","England"
"Bernard Jenkin","123","Harwich and North Essex","Conservative","1415","3330","2436","http://sexymp.co.uk/mp/319.jpg","M","E14000734","65674","Harwich and North Essex","England"
"David Lidington","124","Aylesbury","Conservative","1518","2979","2553","http://sexymp.co.uk/mp/366.jpg","M","E14000538","65739","Aylesbury","England"
"Julian Smith","125","Skipton and Ripon","Conservative","1428","3198","2393","http://sexymp.co.uk/mp/550.jpg","M","E14000928","65986","Skipton and Ripon","England"
"Owen Smith","126","Pontypridd","Labour","1479","3208","2599","http://sexymp.co.uk/mp/552.jpg","M","W07000075","66087","Pontypridd","Wales"
"Edward Garnier","127","Harborough","Conservative","1503","3019","2545","http://sexymp.co.uk/mp/218.jpg","M","E14000728","65675","Harborough","England"
"Jamie Reed","128","Copeland","Labour","1370","4147","2816","http://sexymp.co.uk/mp/497.jpg","M","E14000647","65893","Copeland","England"
"Mike Wood","129","Batley and Spen","Labour","1538","3043","2692","http://sexymp.co.uk/mp/640.jpg","M","E14000548","65751","Batley and Spen","England"
"Douglas Alexander","130","Paisley and Renfrewshire South","Labour","1425","4063","3029","http://sexymp.co.uk/mp/9.jpg","M","S14000053","14450","Paisley and Renfrewshire South","Scotland"
"Zac Goldsmith","131","Richmond Park","Conservative","1322","4077","2533","http://sexymp.co.uk/mp/232.jpg","M","E14000896","65598","Richmond Park","England"
"Stephen Crabb","132","Preseli Pembrokeshire","Conservative","1449","3254","2546","http://sexymp.co.uk/mp/128.jpg","M","W07000065","66102","Preseli Pembrokeshire","Wales"
"Greg Hands","133","Chelsea and Fulham","Conservative","1443","3289","2551","http://sexymp.co.uk/mp/261.jpg","M","E14000629","65818","Chelsea and Fulham","England"
"Sylvia Hermon","134","North Down","Independent","1497","32902","27672","http://sexymp.co.uk/mp/283.jpg","F","N06000013","66136","North Down","Northern Ireland"
"George Freeman","135","Mid Norfolk","Conservative","1510","3063","2630","http://sexymp.co.uk/mp/211.jpg","M","E14000816","65949","Mid Norfolk","England"
"Mike Freer","136","Finchley and Golders Green","Conservative","1482","3014","2488","http://sexymp.co.uk/mp/212.jpg","M","E14000703","65938","Finchley and Golders Green","England"
"Jeremy Browne","137","Taunton Deane","Liberal Democrat","1455","3149","2493","http://sexymp.co.uk/mp/78.jpg","M","E14000988","65767","Taunton Deane","England"
"Thomas Docherty","138","Dunfermline and West Fife","Labour","1584","2939","2799","http://sexymp.co.uk/mp/158.jpg","M","S14000017","14414","Dunfermline and West Fife","Scotland"
"Robert Halfon","139","Harlow","Conservative","1375","3657","2542","http://sexymp.co.uk/mp/253.jpg","M","E14000729","65875","Harlow","England"
"Joseph Johnson","140","Orpington","Conservative","1356","3652","2456","http://sexymp.co.uk/mp/323.jpg","M","E14000872","65682","Orpington","England"
"Edward Vaisey","141","Wantage","Conservative","1357","3647","2458","http://sexymp.co.uk/mp/598.jpg","M","E14001015","65638","Wantage","England"
"Stephen Williams","142","Bristol West","Liberal Democrat","1447","3202","2509","http://sexymp.co.uk/mp/629.jpg","M","E14000602","65574","Bristol West","England"
"John Cryer","143","Leyton and Wanstead","Labour","1601","2910","2840","http://sexymp.co.uk/mp/135.jpg","M","E14000790","66013","Leyton and Wanstead","England"
"Jo Swinson","144","East Dunbartonshire","Liberal Democrat","1486","33719","28159","http://sexymp.co.uk/mp/576.jpg","F","S14000018","14415","East Dunbartonshire","Scotland"
"Graham Jones","145","Hyndburn","Labour","1427","3475","2655","http://sexymp.co.uk/mp/326.jpg","M","E14000758","65899","Hyndburn","England"
"Charles Walker","146","Broxbourne","Conservative","1386","3652","2601","http://sexymp.co.uk/mp/604.jpg","M","E14000606","65639","Broxbourne","England"
"Philip Dunne","147","Ludlow","Conservative","1488","3078","2592","http://sexymp.co.uk/mp/175.jpg","M","E14000799","65690","Ludlow","England"
"Sam Gyimah","148","East Surrey","Conservative","1364","3433","2371","http://sexymp.co.uk/mp/250.jpg","M","E14000681","65856","East Surrey","England"
"John Hayes","149","South Holland and The Deepings","Conservative","1570","3026","2858","http://sexymp.co.uk/mp/272.jpg","M","E14000939","66051","South Holland and The Deepings","England"
"Brandon Lewis","150","Great Yarmouth","Conservative","1434","3144","2440","http://sexymp.co.uk/mp/362.jpg","M","E14000717","65627","Great Yarmouth","England"
"Hilary Benn","151","Leeds Central","Labour","1476","3230","2677","http://sexymp.co.uk/mp/41.jpg","M","E14000777","65765","Leeds Central","England"
"Charles Kennedy","152","Ross, Skye and Lochaber","Liberal Democrat","1516","3066","2703","http://sexymp.co.uk/mp/339.jpg","M","S14000055","14452","Ross, Skye and Lochaber","Scotland"
"John Mann","153","Bassetlaw","Labour","1485","3138","2642","http://sexymp.co.uk/mp/387.jpg","M","E14000546","65711","Bassetlaw","England"
"Nic Dakin","154","Scunthorpe","Labour","1557","2946","2755","http://sexymp.co.uk/mp/140.jpg","M","E14000914","66027","Scunthorpe","England"
"Gregg McClymont","155","Cumbernauld, Kilsyth and Kirkintilloch East","Labour","1698","2875","3191","http://sexymp.co.uk/mp/397.jpg","M","S14000012","14409","Cumbernauld, Kilsyth and Kirkintilloch East","Scotland"
"Andrew Rosindell","156","Romford","Conservative","1466","3073","2524","http://sexymp.co.uk/mp/514.jpg","M","E14000900","66077","Romford","England"
"Mark Simmonds","157","Boston and Skegness","Conservative","1390","3230","2348","http://sexymp.co.uk/mp/539.jpg","M","E14000582","65969","Boston and Skegness","England"
"Duncan Hames","158","Chippenham","Liberal Democrat","1400","3627","2689","http://sexymp.co.uk/mp/254.jpg","M","E14000635","65940","Chippenham","England"
"Brooks Newmark","159","Braintree","Conservative","1513","3051","2689","http://sexymp.co.uk/mp/454.jpg","M","E14000590","65670","Braintree","England"
"Frank Doran","160","Aberdeen North","Labour","1513","3207","2836","http://sexymp.co.uk/mp/163.jpg","M","S14000001","14398","Aberdeen North","Scotland"
"Martin Horwood","161","Cheltenham","Liberal Democrat","1450","3211","2589","http://sexymp.co.uk/mp/298.jpg","M","E14000630","65946","Cheltenham","England"
"Khalid Mahmood","162","Birmingham, Perry Barr","Labour","1521","3051","2726","http://sexymp.co.uk/mp/384.jpg","M","E14000566","66028","Birmingham, Perry Barr","England"
"Mel Stride","163","Central Devon","Conservative","1390","3176","2319","http://sexymp.co.uk/mp/567.jpg","M","E14000623","65749","Central Devon","England"
"Tami Mark","164","Alyn and Deeside","Labour","1499","3137","2717","http://sexymp.co.uk/mp/579.jpg","M","W07000043","66103","Alyn and Deeside","Wales"
"Robert Buckland","165","South Swindon","Conservative","1441","3013","2395","http://sexymp.co.uk/mp/83.jpg","M","E14000947","65800","South Swindon","England"
"Jonathan Djanogly","166","Huntingdon","Conservative","1469","3018","2508","http://sexymp.co.uk/mp/155.jpg","M","E14000757","65592","Huntingdon","England"
"Francis Maude","167","Horsham","Conservative","1511","2940","2602","http://sexymp.co.uk/mp/389.jpg","M","E14000753","65717","Horsham","England"
"David Mundell","168","Dumfriesshire, Clydesdale and Tweeddale","Conservative","1521","2997","2684","http://sexymp.co.uk/mp/442.jpg","M","S14000014","14411","Dumfriesshire, Clydesdale and Tweeddale","Scotland"
"Kevin Barron","169","Rother Valley","Labour","1590","2973","2930","http://sexymp.co.uk/mp/32.jpg","M","E14000903","65930","Rother Valley","England"
"David Lammy","170","Tottenham","Labour","1490","3289","2828","http://sexymp.co.uk/mp/346.jpg","M","E14001002","66074","Tottenham","England"
"Chris Leslie","171","Nottingham East","Labour Co-operative","1470","3368","2816","http://sexymp.co.uk/mp/360.jpg","M","E14000865","65559","Nottingham East","England"
"Michael Dugher","172","Barnsley East","Labour","1422","3391","2633","http://sexymp.co.uk/mp/172.jpg","M","E14000542","66012","Barnsley East","England"
