sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Douglas Carswell","75","Clacton","Conservative","1545","3171","2666","http://sexymp.co.uk/mp/104.jpg","M","E14000642","66030","Clacton","England","138100","66100","72000","2109","1007","1102","7","5","7","15.3","598.7","717.5","496","5","3.6","5","covered_by","E07000076"
"Stuart Andrew","76","Pudsey","Conservative","1418","3345","2306","http://sexymp.co.uk/mp/15.jpg","M","E14000886","65637","Pudsey","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"Richard Benyon","77","Newbury","Conservative","1417","3892","2688","http://sexymp.co.uk/mp/43.jpg","M","E14000830","65862","Newbury","England","154100","76400","77700","1122","581","541","8","5","11","7.3","471.7","573.3","386.1","4","2.5","5.5","covered_by","E06000037"
"David Cameron","78","Witney","Conservative","1488","4230","3293","http://sexymp.co.uk/mp/97.jpg","M","E14001046","65622","Witney","England","105400","51900","53500","923","437","486","5","2","6","8.8","465.5","531.8","409.7","3.8","0","4.5","covered_by","E07000181"
"Tom Greatrix","79","Rutherglen and Hamilton West","Labour Co-operative","1544","3400","2876","http://sexymp.co.uk/mp/240.jpg","M","S14000056","14453","Rutherglen and Hamilton West","Scotland","312700","149900","162800","3214","1511","1703","12","11","24","10.3","651.6","767.1","559.8","3.4","3.1","6.8","covered_by","S12000029"
"Simon Hart","80","Carmarthen West and South Pembrokeshire","Conservative","1424","3220","2262","http://sexymp.co.uk/mp/268.jpg","M","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales","122600","60000","62700","1303","646","657","4","0","0","10.6","522.6","616.5","447.1","3.1","0","0","covered_by","W06000009"
"Daniel Kawczynski","81","Shrewsbury and Atcham","Conservative","1385","3803","2504","http://sexymp.co.uk/mp/334.jpg","M","E14000926","65563","Shrewsbury and Atcham","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Jonathan Reynolds","82","Stalybridge and Hyde","Labour Co-operative","1508","3418","2754","http://sexymp.co.uk/mp/503.jpg","M","E14000967","65960","Stalybridge and Hyde","England","219700","107800","111900","2181","1036","1145","14","7","17","9.9","666.6","770.9","572.3","4.6","2.3","5.6","covered_by","E08000008"
"James Wharton","83","Stockton South","Conservative","1390","3457","2307","http://sexymp.co.uk/mp/616.jpg","M","E14000971","65908","Stockton South","England","191800","94200","97700","1662","785","877","12","10","17","8.7","577.7","658.1","511.1","4.9","4.1","7","covered_by","E06000004"
"Hugh Robertson","84","Faversham and Mid Kent","Conservative","1456","3207","2399","http://sexymp.co.uk/mp/509.jpg","M","E14000700","65764","Faversham and Mid Kent","England","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7","covered_by","E10000016"
"Craig Whittacker","85","Calder Valley","Conservative","1450","3147","2331","http://sexymp.co.uk/mp/621.jpg","M","E14000614","65906","Calder Valley","England","204200","99800","104400","1850","908","942","16","10","22","9.1","584.3","718.4","475.6","6.2","3.9","8.5","covered_by","E08000033"
"Chris Heaton-Harris","86","Daventry","Conservative","1509","2955","2402","http://sexymp.co.uk/mp/276.jpg","M","E14000660","66025","Daventry","England","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8","covered_by","E10000021"
"Daniel Poulter","87","Central Suffolk and North Ipswich","Conservative","1460","3197","2415","http://sexymp.co.uk/mp/485.jpg","M","E14000624","65748","Central Suffolk and North Ipswich","England","730100","360900","369200","6880","3337","3543","35","21","54","9.4","465.2","547.2","395.1","4.2","2.5","6.4","covered_by","E10000029"
"Jason McCartney","88","Colne Valley","Conservative","1492","3126","2485","http://sexymp.co.uk/mp/395.jpg","M","E14000645","65835","Colne Valley","England","423000","208900","214100","3609","1750","1859","37","28","49","8.5","576.8","688.4","484","6.4","4.8","8.4","covered_by","E08000034"
"Rehman Chishti","89","Gillingham and Rainham","Conservative","1397","3359","2295","http://sexymp.co.uk/mp/108.jpg","M","E14000711","65864","Gillingham and Rainham","England","264900","131400","133500","2013","978","1035","12","8","23","7.6","557.6","658.6","474.8","3.4","2.2","6.4","covered_by","E06000035"
"Gordon Marsden","90","Blackpool South","Labour","1523","3219","2689","http://sexymp.co.uk/mp/388.jpg","M","E14000573","65679","Blackpool South","England","142100","69700","72300","1818","913","905","7","4","19","12.8","728.6","902.2","577.3","4","2.3","10.9","covered_by","E06000009"
"Jenny Willot","91","Cardiff Central","Liberal Democrat","1526","32523","27323","http://sexymp.co.uk/mp/632.jpg","F","W07000050","66090","Cardiff Central","Wales","345400","169900","175600","2609","1285","1324","21","18","35","7.6","547.7","669.8","452.9","4.4","3.8","7.3","covered_by","W06000015"
