sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Iain Wright","150","Hartlepool","Labour","1555","3156","2723","http://sexymp.co.uk/mp/644.jpg","E14000733","65990","Hartlepool","England"
"Mark Garnier","151","Wyre Forest","Conservative","1432","3361","2407","http://sexymp.co.uk/mp/219.jpg","E14001058","66078","Wyre Forest","England"
"Alan Johnson","152","Kingston upon Hull West and Hessle","Labour","1585","3066","2759","http://sexymp.co.uk/mp/320.jpg","E14000773","65984","Kingston upon Hull West and Hessle","England"
"David Ruffley","153","Bury St Edmunds","Conservative","1360","3370","2123","http://sexymp.co.uk/mp/521.jpg","E14000613","66035","Bury St Edmunds","England"
"Alistair Darling","154","Edinburgh South West","Labour","1563","3044","2665","http://sexymp.co.uk/mp/142.jpg","S14000025","14422","Edinburgh South West","Scotland"
"Andrew Griffiths","155","Burton","Conservative","1413","3210","2233","http://sexymp.co.uk/mp/247.jpg","E14000610","65708","Burton","England"
"Bernard Jenkin","156","Harwich and North Essex","Conservative","1430","3262","2339","http://sexymp.co.uk/mp/319.jpg","E14000734","65674","Harwich and North Essex","England"
"John Leech","157","Manchester, Withington","Liberal Democrat","1539","3124","2649","http://sexymp.co.uk/mp/356.jpg","E14000809","65819","Manchester, Withington","England"
"Owen Smith","158","Pontypridd","Labour","1498","3141","2505","http://sexymp.co.uk/mp/552.jpg","W07000075","66087","Pontypridd","Wales"
"Robin Walker","159","Worcester","Conservative","1340","3646","2217","http://sexymp.co.uk/mp/605.jpg","E14001052","65577","Worcester","England"
"Robert Flello","160","Stoke-on-Trent South","Labour","1571","3015","2677","http://sexymp.co.uk/mp/203.jpg","E14000974","65770","Stoke-on-Trent South","England"
"Hugh Bayley","161","York Central","Labour","1620","2942","2787","http://sexymp.co.uk/mp/34.jpg","E14001061","65965","York Central","England"
"Rory Stewart","162","Penrith and The Border","Conservative","1488","3082","2431","http://sexymp.co.uk/mp/564.jpg","E14000877","66081","Penrith and The Border","England"
"Derek Twigg","163","Halton","Labour","1552","3079","2666","http://sexymp.co.uk/mp/593.jpg","E14000725","65915","Halton","England"
"Greg Hands","164","Chelsea and Fulham","Conservative","1470","3228","2480","http://sexymp.co.uk/mp/261.jpg","E14000629","65818","Chelsea and Fulham","England"
