sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Cheryl Gillan","101","Chesham and Amersham","Conservative","1654","28371","27171","http://sexymp.co.uk/mp/225.jpg","E14000631","65801","Chesham and Amersham","England","81.3","37","84.2","83","19.9","26","22.1","53","overlapped_by (calculated average)","E07000007"
"Kevan Jones","102","North Durham","Labour","1585","2952","2585","http://sexymp.co.uk/mp/328.jpg","E14000840","65745","North Durham","England","77.9","280","81.5","306","17.7","289","19.9","318","covered_by","E06000047"
"Mike Wood","103","Batley and Spen","Labour","1596","2948","2617","http://sexymp.co.uk/mp/640.jpg","E14000548","65751","Batley and Spen","England","78.2","261","82","286","18","255","20.3","294","covered_by","E08000034"
"Clive Efford","104","Eltham","Labour","1519","3293","2637","http://sexymp.co.uk/mp/180.jpg","E14000690","65816","Eltham","England","78.5","247","82.2","266","17.6","304","20.5","267","covered_by","E09000011"
"Tobias Ellwood","105","Bournemouth East","Conservative","1374","3696","2321","http://sexymp.co.uk/mp/185.jpg","E14000584","65993","Bournemouth East","England","78.6","237","83.1","190","18.4","209","21","207","covered_by","E06000028"
"John Whittingdale","106","Maldon","Conservative","1556","2991","2521","http://sexymp.co.uk/mp/622.jpg","E14000806","65661","Maldon","England","80.65","79","83.85","120.5","19.45","74","21.549999999999997","133.5","overlapped_by (calculated average)","E07000070,E07000074"
"George Freeman","107","Mid Norfolk","Conservative","1569","2983","2566","http://sexymp.co.uk/mp/211.jpg","E14000816","65949","Mid Norfolk","England","80.69999999999999","85","83.8","126.5","19.6","76.5","21.65","120.5","overlapped_by (calculated average)","E07000143,E07000149"
"Kwasi Kwarteng","108","Spelthorne","Conservative","1596","2950","2637","http://sexymp.co.uk/mp/343.jpg","E14000959","65942","Spelthorne","England","80.1","127","83.4","164","19","139","21.2","181","covered_by","E07000213"
"Angus MacNiel","109","Na h-Eileanan an Iar","Scottish National Party","1517","3338","2668","http://sexymp.co.uk/mp/381.jpg","S14000027","14444","Na h-Eileanan an Iar","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Iain Stewart","110","Milton Keynes South","Conservative","1485","3201","2440","http://sexymp.co.uk/mp/563.jpg","E14000822","66076","Milton Keynes South","England","78.7","229","82.5","244","17.9","263","20.6","261","covered_by","E06000042"
"Edward Timson","111","Crewe and Nantwich","Conservative","1393","3331","2175","http://sexymp.co.uk/mp/586.jpg","E14000653","65572","Crewe and Nantwich","England","80.4","99","83.4","167","19.2","108","21.2","182","covered_by","E06000049"
"Kevin Barron","112","Rother Valley","Labour","1677","2882","2859","http://sexymp.co.uk/mp/32.jpg","E14000903","65930","Rother Valley","England","78","277","81.6","302","17.5","310","20.2","300","covered_by","E08000018"
"Andrew Murrison","113","South West Wiltshire","Conservative","1513","2974","2371","http://sexymp.co.uk/mp/450.jpg","E14000954","65956","South West Wiltshire","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
