sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Eric Joyce","143","Falkirk","Labour","1536","3032","2677","http://sexymp.co.uk/mp/332.jpg","S14000028","14424","Falkirk","Scotland"
"Gavin Shuker","144","Luton South","Labour Co-operative","1540","3108","2758","http://sexymp.co.uk/mp/538.jpg","E14000801","66080","Luton South","England"
"Russell Brown","145","Dumfries and Galloway","Labour","1536","3068","2708","http://sexymp.co.uk/mp/77.jpg","S14000013","14410","Dumfries and Galloway","Scotland"
"Andy Burnham","146","Leigh","Labour","1488","3376","2779","http://sexymp.co.uk/mp/86.jpg","E14000785","65978","Leigh","England"
"Kelvin Hopkins","147","Luton North","Labour","1759","2741","3176","http://sexymp.co.uk/mp/296.jpg","E14000800","65887","Luton North","England"
"Hilary Benn","148","Leeds Central","Labour","1488","3203","2645","http://sexymp.co.uk/mp/41.jpg","E14000777","65765","Leeds Central","England"
"Mike Wood","149","Batley and Spen","Labour","1539","3004","2666","http://sexymp.co.uk/mp/640.jpg","E14000548","65751","Batley and Spen","England"
"Ben Walker","150","Wyre and Preston North","Conservative","1442","3142","2424","http://sexymp.co.uk/mp/606.jpg","E14001057","65695","Wyre and Preston North","England"
"Tony Lloyd","151","Manchester Central","Labour","1596","2933","2823","http://sexymp.co.uk/mp/369.jpg","E14000807","66048","Manchester Central","England"
"Andrew Selous","152","South West Bedfordshire","Conservative","1492","2999","2507","http://sexymp.co.uk/mp/529.jpg","E14000949","65848","South West Bedfordshire","England"
"Graham Brady","153","Altrincham and Sale West","Conservative","1461","3134","2500","http://sexymp.co.uk/mp/65.jpg","E14000532","65892","Altrincham and Sale West","England"
"Mark Lancaster","154","Milton Keynes North","Conservative","1370","3321","2285","http://sexymp.co.uk/mp/347.jpg","E14000821","65953","Milton Keynes North","England"
"Richard Benyon","155","Newbury","Conservative","1366","3859","2643","http://sexymp.co.uk/mp/43.jpg","E14000830","65862","Newbury","England"
"Neil Parish","156","Tiverton and Honiton","Conservative","1602","2802","2735","http://sexymp.co.uk/mp/471.jpg","E14000996","65761","Tiverton and Honiton","England"
"David Lammy","157","Tottenham","Labour","1506","3258","2800","http://sexymp.co.uk/mp/346.jpg","E14001002","66074","Tottenham","England"
"Michael Moore","158","Berwickshire, Roxburgh and Selkirk","Liberal Democrat","1472","3272","2673","http://sexymp.co.uk/mp/429.jpg","S14000008","14405","Berwickshire, Roxburgh and Selkirk","Scotland"
"Sheryll Murray","159","South East Cornwall","Conservative","1625","27558","27707","http://sexymp.co.uk/mp/449.jpg","E14000938","65684","South East Cornwall","England"
